x,y
16.019,38.644215
15.868405,38.59225
15.698837,39.058796
15.866929,38.94114
16.18546,39.140854
16.245464,38.667786
16.118904,39.16611
16.029648,39.185562
15.8669815,39.00206
15.721666,38.974228
16.205812,39.067535
16.235992,38.977444
15.901694,39.499126
16.03959,39.475986
16.258518,39.36702
16.35738,39.370926
16.256495,39.43746
16.45969,39.60192
16.313475,39.556953
16.31443,39.51595
15.986744,39.522793
16.107334,39.476974
16.359932,39.25406
16.305077,39.90606
16.59498,39.55777
16.607351,39.701164
16.116583,39.992565
16.665579,39.494846
16.510662,39.701035
16.215673,39.60606
16.441172,39.904514
16.550552,39.76648
16.44422,39.803604
16.59039,40.422268
16.691076,40.357403
16.76576,39.988655
16.702417,40.275536
16.694242,40.181583
16.468203,40.762196
16.549706,40.556755
16.704903,40.38697
16.572615,40.2978
16.633549,40.58455
16.942476,40.69843
16.868374,40.536865
16.917845,40.54501
16.711094,40.821056
16.847382,40.57533
16.878798,40.69004
17.080296,40.548645
16.614157,40.636326
16.890718,40.573444
16.977365,40.75113
17.02992,40.63306
16.783867,40.66575
16.955057,40.491108
16.937952,40.637047
17.003168,40.710022
17.10134,40.535606
16.863016,40.713646
15.735924,41.706184
17.028496,40.646526
16.861048,40.67157
12.304029,33.96901
12.222329,33.96664
12.479317,33.88222
12.890176,33.846222
12.93127,33.800793
12.765893,33.772633
12.879607,33.83321
12.777873,33.79322
12.806832,33.97586
12.573134,33.78115
13.481534,33.51886
12.638326,34.024055
13.009963,33.815517
12.863262,33.95127
12.905668,33.928246
12.940745,34.039127
13.002531,33.949997
12.85331,33.873436
12.788977,34.00094
12.961554,33.86357
13.0889225,34.057663
13.085716,34.325363
13.136685,34.13382
13.164194,34.10574
13.235295,34.204628
13.219557,34.050865
13.190827,34.190945
13.243339,34.282314
13.097456,34.04548
13.26445,34.15888
13.383161,34.209545
13.505268,34.831627
13.443433,34.703365
13.549237,34.775616
13.56344,34.962738
13.5379095,34.75045
13.220474,34.688408
13.430062,34.556686
13.331321,34.375328
13.303795,34.738586
13.461891,34.43477
13.661678,34.827293
13.523903,34.471493
13.707366,35.06102
13.563731,35.1335
13.517075,34.82563
13.519377,35.033676
13.539596,35.033894
13.560124,34.555733
13.556269,35.23797
13.561783,35.340557
