	Astro	ExcitatoryL5	Sst	ExcitatoryL2and3	Other	Vip	Smc	Olig	Endo	ExcitatoryL4	Micro	Npy	Pvalb	ExcitatoryL6	HPC
147	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.2222222222222222	0.0	0.0	0.0	0.1111111111111111	0.0	0.0
148	0.2222222222222222	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0
149	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
151	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0
152	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.08333333333333333	0.0	0.0	0.0	0.0	0.08333333333333333	0.0
154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9285714285714286	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0
155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.07142857142857142	0.0	0.07142857142857142	0.0	0.0	0.7142857142857143	0.0
156	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.0
157	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0
158	0.0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.16666666666666666	0.0
159	0.5714285714285714	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0
160	0.1111111111111111	0.4444444444444444	0.2222222222222222	0.0	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0
161	0.0	0.23076923076923078	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.15384615384615385	0.38461538461538464	0.07692307692307693	0.0	0.0	0.07692307692307693	0.0
162	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.8181818181818182	0.0	0.0	0.0	0.0	0.0
163	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	0.0	0.1111111111111111	0.0	0.5555555555555556	0.0	0.0	0.0	0.0	0.0
164	0.2727272727272727	0.0	0.09090909090909091	0.2727272727272727	0.0	0.0	0.0	0.0	0.0	0.36363636363636365	0.0	0.0	0.0	0.0	0.0
165	0.1	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0
166	0.09090909090909091	0.0	0.09090909090909091	0.7272727272727273	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
167	0.0	0.0	0.0	0.5	0.125	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.125	0.0	0.0
168	0.14285714285714285	0.0	0.0	0.7142857142857143	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0
169	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0
170	0.2	0.0	0.0	0.0	0.1	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
171	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0
172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
174	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.5714285714285714	0.0
175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
176	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.5	0.0
177	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0
178	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0
179	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.0	0.0	0.0
180	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.2857142857142857	0.0	0.0	0.14285714285714285	0.14285714285714285	0.0
181	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0
182	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.4	0.0	0.0	0.0	0.0	0.0
183	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0
184	0.0	0.0	0.0	0.6666666666666666	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
185	0.2	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0
186	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
188	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
189	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
